,ticker,name,sector
0,MMM,3M Company,Industrials
1,ABT,Abbott Laboratories,Health Care
2,ABBV,AbbVie Inc.,Health Care
3,ABMD,ABIOMED Inc,Health Care
4,ACN,Accenture plc,Information Technology
5,ATVI,Activision Blizzard,Communication Services
6,ADBE,Adobe Systems Inc,Information Technology
7,AMD,Advanced Micro Devices Inc,Information Technology
8,AAP,Advance Auto Parts,Consumer Discretionary
9,AES,AES Corp,Utilities
10,AMG,Affiliated Managers Group Inc,Financials
11,AFL,AFLAC Inc,Financials
12,A,Agilent Technologies Inc,Health Care
13,APD,Air Products & Chemicals Inc,Materials
14,AKAM,Akamai Technologies Inc,Information Technology
15,ALK,Alaska Air Group Inc,Industrials
16,ALB,Albemarle Corp,Materials
17,ARE,Alexandria Real Estate Equities,Real Estate
18,ALXN,Alexion Pharmaceuticals,Health Care
19,ALGN,Align Technology,Health Care
20,ALLE,Allegion,Industrials
21,AGN,"Allergan, Plc",Health Care
22,ADS,Alliance Data Systems,Information Technology
23,LNT,Alliant Energy Corp,Utilities
24,ALL,Allstate Corp,Financials
25,GOOGL,Alphabet Inc Class A,Communication Services
26,GOOG,Alphabet Inc Class C,Communication Services
27,MO,Altria Group Inc,Consumer Staples
28,AMZN,Amazon.com Inc.,Consumer Discretionary
29,AEE,Ameren Corp,Utilities
30,AAL,American Airlines Group,Industrials
31,AEP,American Electric Power,Utilities
32,AXP,American Express Co,Financials
33,AIG,American International Group,Financials
34,AMT,American Tower Corp.,Real Estate
35,AWK,American Water Works Company Inc,Utilities
36,AMP,Ameriprise Financial,Financials
37,ABC,AmerisourceBergen Corp,Health Care
38,AME,AMETEK Inc.,Industrials
39,AMGN,Amgen Inc.,Health Care
40,APH,Amphenol Corp,Information Technology
41,APC,Anadarko Petroleum Corp,Energy
42,ADI,"Analog Devices, Inc.",Information Technology
43,ANSS,ANSYS,Information Technology
44,ANTM,Anthem Inc.,Health Care
45,AON,Aon plc,Financials
46,AOS,A.O. Smith Corp,Industrials
47,APA,Apache Corporation,Energy
48,AIV,Apartment Investment & Management ,Real Estate
49,AAPL,Apple Inc.,Information Technology
50,AMAT,Applied Materials Inc.,Information Technology
51,APTV,Aptiv Plc,Consumer Discretionary
52,ADM,Archer-Daniels-Midland Co,Consumer Staples
53,ARNC,Arconic Inc.,Industrials
54,ANET,Arista Networks,Information Technology
55,AJG,Arthur J. Gallagher & Co.,Financials
56,AIZ,Assurant,Financials
57,ATO,Atmos Energy Corp,Utilities
58,T,AT&T Inc.,Communication Services
59,ADSK,Autodesk Inc.,Information Technology
60,ADP,Automatic Data Processing,Information Technology
61,AZO,AutoZone Inc,Consumer Discretionary
62,AVB,"AvalonBay Communities, Inc.",Real Estate
63,AVY,Avery Dennison Corp,Materials
64,BHGE,"Baker Hughes, a GE Company",Energy
65,BLL,Ball Corp,Materials
66,BAC,Bank of America Corp,Financials
67,BK,The Bank of New York Mellon Corp.,Financials
68,BAX,Baxter International Inc.,Health Care
69,BBT,BB&T Corporation,Financials
70,BDX,Becton Dickinson,Health Care
71,BRK-B,Berkshire Hathaway,Financials
72,BBY,Best Buy Co. Inc.,Consumer Discretionary
73,BIIB,Biogen Inc.,Health Care
74,BLK,BlackRock,Financials
75,HRB,Block H&R,Consumer Discretionary
76,BA,Boeing Company,Industrials
77,BKNG,Booking Holdings Inc,Consumer Discretionary
78,BWA,BorgWarner,Consumer Discretionary
79,BXP,Boston Properties,Real Estate
80,BSX,Boston Scientific,Health Care
81,BMY,Bristol-Myers Squibb,Health Care
82,AVGO,Broadcom,Information Technology
83,BR,Broadridge Financial Solutions,Information Technology
84,BF-B,Brown-Forman Corp.,Consumer Staples
85,CHRW,C. H. Robinson Worldwide,Industrials
86,COG,Cabot Oil & Gas,Energy
87,CDNS,Cadence Design Systems,Information Technology
88,CPB,Campbell Soup,Consumer Staples
89,COF,Capital One Financial,Financials
